Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
.,modifiers,ClassWithModifiers,6,0,4,4,0,1
.,methods,Methods2,3,0,3,3,0,1
.,methods,Methods,36,0,9,9,0,1
.,methods,Methods3,3,3,3,3,1,1
.,methods,StaticInitializer,1,0,2,2,1,1
.,methods,StaticInitializer2,1,0,2,2,1,1
.,assignments,Assignments,3,0,3,3,0,1
.,numbers,Numbers,1,0,2,2,0,1
.,nestedblocks,NestedBlocks7,1,0,2,2,0,1
.,nestedblocks,NestedBlocks6,1,0,2,2,0,1
.,nestedblocks,NestedBlocks9,15,0,6,6,0,1
.,nestedblocks,NestedBlocks5,0,0,1,1,0,0
.,nestedblocks,NestedBlocks4,1,0,2,2,0,1
.,nestedblocks,NestedBlocks8,0,0,2,2,0,-1
